Date,MSFT,F,JPM,GOOG,HPQ,C,HOG,VZ,AAPL,IBM,T,CSCO,BAC,INTC,AMD,SNE,NVDA,AMZN,MS,BK
11/01/2018,102.83827209472656,8.56594467163086,101.24801635742188,1070.0,22.670326232910156,60.59028244018555,36.744102478027344,50.97481918334961,54.07533264160156,104.59555053710938,26.38178253173828,42.57538604736328,26.334022521972656,45.34254837036133,20.219999313354492,55.65999984741211,216.68675231933594,1665.530029296875,43.071022033691406,44.561805725097656
11/02/2018,103.07130432128906,8.648930549621582,100.69058227539062,1057.7900390625,22.7999210357666,61.09071731567383,37.2210578918457,51.50230026245117,50.488487243652344,103.55701446533203,26.407739639282227,42.416839599609375,26.409774780273438,44.29878616333008,20.229999542236328,53.65999984741211,213.51759338378906,1665.530029296875,43.1273307800293,44.2711067199707
11/05/2018,104.38201904296875,8.787239074707031,101.35020446777344,1040.0899658203125,22.809179306030273,62.36962890625,36.669288635253906,52.02978515625,49.05520248413086,107.48729705810547,26.502918243408203,43.03239059448242,26.57075309753418,45.10747146606445,19.899999618530273,53.31999969482422,210.38816833496094,1627.800048828125,43.00532150268555,44.983795166015625
11/06/2018,104.58590698242188,8.79646110534668,101.82402038574219,1055.81005859375,23.031343460083008,61.795047760009766,36.94984436035156,52.02978515625,49.5856819152832,110.22686767578125,26.7884521484375,43.36813735961914,26.712791442871094,44.710044860839844,20.68000030517578,53.5,209.6827850341797,1642.81005859375,42.91146469116211,45.312007904052734
11/07/2018,108.70254516601562,8.851784706115723,103.57064056396484,1093.3900146484375,23.577505111694336,63.2592887878418,38.3058967590332,52.42994689941406,51.089534759521484,111.7667465209961,26.909587860107422,44.67384719848633,27.025278091430664,46.10102081298828,21.84000015258789,55.2599983215332,212.3949737548828,1755.489990234375,43.746795654296875,45.73398971557617
11/08/2018,108.49864959716797,8.722695350646973,104.40677642822266,1082.4000244140625,23.60527992248535,62.81446075439453,38.21237564086914,52.993804931640625,50.91128158569336,111.86648559570312,26.857675552368164,45.17747116088867,27.337764739990234,46.35651397705078,21.200000762939453,54.40999984741211,204.6458740234375,1754.9100341796875,43.57784652709961,45.97780227661133
11/09/2018,106.38208770751953,8.648930549621582,103.39411926269531,1066.1500244140625,23.142431259155273,60.94245147705078,38.090789794921875,53.166603088378906,49.929630279541016,112.01155090332031,26.55483055114746,43.937049865722656,27.0063419342041,45.5238151550293,21.030000686645508,54.06999969482422,204.3279571533203,1712.4300537109375,42.920841217041016,45.480796813964844
11/12/2018,103.76065063476562,8.750356674194336,101.22013092041016,1038.6300048828125,22.207475662231445,59.5059928894043,38.137550354003906,53.40305709838867,47.41447067260742,109.61791229248047,26.632705688476562,42.54740905761719,26.277204513549805,44.14229202270508,19.030000686645508,51.529998779296875,188.30320739746094,1636.8499755859375,41.41912841796875,44.99317169189453
11/13/2018,103.82859802246094,8.79646110534668,101.81473541259766,1036.050048828125,22.170452117919922,60.034236907958984,38.904422760009766,53.34848403930664,46.94074249267578,109.56351470947266,26.243335723876953,42.081077575683594,26.286672592163086,44.84252166748047,19.610000610351562,51.2400016784668,198.00946044921875,1631.1700439453125,41.93534469604492,45.19947814941406
11/14/2018,102.35619354248047,8.79646110534668,99.715087890625,1043.6600341796875,21.966794967651367,58.84800720214844,38.82960510253906,53.60313415527344,45.61478805541992,108.98323822021484,26.39908790588379,41.34429168701172,25.7658634185791,44.55864715576172,20.809999465942383,51.13999938964844,195.90328979492188,1599.010009765625,41.156333923339844,45.22760772705078
11/15/2018,104.60868072509766,8.58438777923584,102.26066589355469,1064.7099609375,22.374101638793945,59.8674201965332,38.69867706298828,53.73046112060547,46.74051284790039,110.1075210571289,26.06163787841797,43.619956970214844,26.419246673583984,45.5238151550293,21.489999771118164,51.650001525878906,201.06935119628906,1619.43994140625,41.57868576049805,46.155975341796875
11/16/2018,105.5935287475586,8.344650268554688,102.18635559082031,1061.489990234375,22.364839553833008,60.19178009033203,38.69867706298828,54.75813674926758,47.2581901550293,110.22538757324219,26.208728790283203,43.22823715209961,26.277204513549805,46.20511245727539,20.65999984741211,50.810001373291016,163.35704040527344,1593.4100341796875,41.41912841796875,46.315391540527344
11/19/2018,102.01492309570312,8.529062271118164,102.96675872802734,1020.0,21.800167083740234,59.88595962524414,37.58578109741211,55.13101577758789,45.385250091552734,109.08296966552734,26.26064682006836,42.66865158081055,26.277204513549805,45.41973114013672,19.110000610351562,50.9900016784668,143.75579833984375,1512.2900390625,41.68193054199219,46.99995422363281
11/20/2018,99.17737579345703,8.353872299194336,100.755615234375,1025.760009765625,20.93001365661621,57.94906997680664,37.482913970947266,54.076053619384766,43.21683883666992,106.26318359375,25.455949783325195,41.49351119995117,25.926843643188477,44.84252166748047,19.209999084472656,49.529998779296875,148.10720825195312,1495.4599609375,40.4524040222168,46.30601119995117
11/21/2018,100.54252624511719,8.39997386932373,100.0030746459961,1037.6099853515625,20.97629737854004,58.264163970947266,37.47356033325195,53.80322265625,43.16799545288086,107.50534057617188,25.758792877197266,41.8665771484375,25.82267951965332,44.50187301635742,18.729999542236328,50.52000045776367,143.76576232910156,1516.72998046875,41.043701171875,46.849910736083984
11/23/2018,100.5035171508789,8.418415069580078,99.08332061767578,1023.8800048828125,20.837444305419922,57.22621154785156,37.30522537231445,53.33030319213867,42.07157897949219,106.25411224365234,25.404035568237305,41.54014205932617,25.53860092163086,44.038211822509766,19.3799991607666,49.689998626708984,144.0538330078125,1502.06005859375,40.43363571166992,46.75613021850586
11/26/2018,103.81885528564453,8.667370796203613,101.50816345214844,1048.6199951171875,21.115148544311523,59.0611572265625,38.717376708984375,53.81230926513672,42.64054489135742,108.4029541015625,25.914541244506836,42.50077819824219,26.097291946411133,44.8992919921875,20.079999923706055,51.02000045776367,152.05130004882812,1581.3299560546875,41.55992126464844,47.759521484375
